,맥주이름,년,평점
412,Grolsch Premium Lager, 2003,2.7443750000000002
413,Grolsch Premium Lager, 2004,2.585483870967742
414,Grolsch Premium Lager, 2005,2.4901515151515152
415,Grolsch Premium Lager, 2006,2.46875
416,Grolsch Premium Lager, 2007,2.402702702702703
417,Grolsch Premium Lager, 2008,2.40125
418,Grolsch Premium Lager, 2009,2.3336206896551723
419,Grolsch Premium Lager, 2010,2.476237623762376
420,Grolsch Premium Lager, 2011,2.6469135802469137
421,Grolsch Premium Lager, 2012,2.5727272727272728
422,Grolsch Premium Lager, 2013,2.4977272727272726
423,Grolsch Premium Lager, 2014,2.6294642857142856
424,Grolsch Premium Lager, 2015,2.5442477876106193
425,Grolsch Premium Lager, 2016,2.6311688311688313
426,Grolsch Premium Lager, 2017,2.7292929292929293
427,Grolsch Premium Lager, 2018,2.8063492063492066
428,Grolsch Premium Lager, 2019,2.752727272727273
429,Grolsch Premium Lager, 2020,2.8
430,Grolsch Premium Lager, 2021,2.7055555555555557
431,Guinness Draught, 2000,4.148
432,Guinness Draught, 2001,3.964606741573034
433,Guinness Draught, 2002,3.6795865633074936
434,Guinness Draught, 2003,3.542013888888889
435,Guinness Draught, 2004,3.543042071197411
436,Guinness Draught, 2005,3.396694214876033
437,Guinness Draught, 2006,3.532571428571429
438,Guinness Draught, 2007,3.3903640256959315
439,Guinness Draught, 2008,3.433253588516746
440,Guinness Draught, 2009,3.422327044025157
441,Guinness Draught, 2010,3.3642023346303502
442,Guinness Draught, 2011,3.415352697095436
443,Guinness Draught, 2012,3.4565088757396447
444,Guinness Draught, 2013,3.3835164835164835
445,Guinness Draught, 2014,3.3665624999999997
446,Guinness Draught, 2015,3.2762264150943397
447,Guinness Draught, 2016,3.361578947368421
448,Guinness Draught, 2017,3.3219730941704033
449,Guinness Draught, 2018,3.4121621621621623
450,Guinness Draught, 2019,3.567647058823529
451,Guinness Draught, 2020,3.505357142857143
452,Guinness Draught, 2021,3.488095238095238
453,Guinness Original 4.2% (Ireland/UK), 2000,2.1
454,Guinness Original 4.2% (Ireland/UK), 2001,2.225
455,Guinness Original 4.2% (Ireland/UK), 2002,2.9000000000000004
456,Guinness Original 4.2% (Ireland/UK), 2003,3.227272727272727
457,Guinness Original 4.2% (Ireland/UK), 2004,3.435
458,Guinness Original 4.2% (Ireland/UK), 2005,3.1260869565217395
459,Guinness Original 4.2% (Ireland/UK), 2006,3.478947368421052
460,Guinness Original 4.2% (Ireland/UK), 2007,3.176
461,Guinness Original 4.2% (Ireland/UK), 2008,3.2760000000000002
462,Guinness Original 4.2% (Ireland/UK), 2009,3.3049999999999997
463,Guinness Original 4.2% (Ireland/UK), 2010,3.109677419354839
464,Guinness Original 4.2% (Ireland/UK), 2011,3.2366666666666664
465,Guinness Original 4.2% (Ireland/UK), 2012,3.3131578947368423
466,Guinness Original 4.2% (Ireland/UK), 2013,3.298275862068966
467,Guinness Original 4.2% (Ireland/UK), 2014,3.094871794871795
468,Guinness Original 4.2% (Ireland/UK), 2015,3.180769230769231
469,Guinness Original 4.2% (Ireland/UK), 2016,3.170833333333333
470,Guinness Original 4.2% (Ireland/UK), 2017,3.2411764705882353
471,Guinness Original 4.2% (Ireland/UK), 2018,3.1454545454545455
472,Guinness Original 4.2% (Ireland/UK), 2019,3.326923076923077
473,Guinness Original 4.2% (Ireland/UK), 2020,3.41
474,Guinness Original 4.2% (Ireland/UK), 2021,3.55
475,Harbin Beer, 2002,2.3
476,Harbin Beer, 2003,2.25
477,Harbin Beer, 2004,1.7
478,Harbin Beer, 2005,2.8
479,Harbin Beer, 2006,2.019642857142857
480,Harbin Beer, 2007,2.1229885057471263
481,Harbin Beer, 2008,2.0028571428571427
482,Harbin Beer, 2009,2.026315789473684
483,Harbin Beer, 2010,1.9866666666666668
484,Harbin Beer, 2011,1.55
485,Harbin Beer, 2012,1.6583333333333332
486,Harbin Beer, 2013,1.5333333333333334
487,Harbin Beer, 2014,1.5166666666666668
488,Harbin Beer, 2015,2.3714285714285714
489,Harbin Beer, 2016,1.8142857142857143
490,Harbin Beer, 2017,2.1333333333333333
491,Harbin Beer, 2018,1.7399999999999998
492,Harbin Beer, 2019,1.675
493,Harbin Beer, 2020,2.15
494,Harbin Beer, 2021,0.5
495,Heineken, 2000,1.8705882352941177
496,Heineken, 2001,2.3993421052631576
497,Heineken, 2002,2.3136363636363635
498,Heineken, 2003,2.22
499,Heineken, 2004,2.1128865979381444
500,Heineken, 2005,2.0374468085106385
501,Heineken, 2006,2.0947955390334574
502,Heineken, 2007,2.1234920634920633
503,Heineken, 2008,2.068867924528302
504,Heineken, 2009,2.022110552763819
505,Heineken, 2010,1.982098765432099
506,Heineken, 2011,1.9948863636363638
507,Heineken, 2012,2.2007575757575757
508,Heineken, 2013,2.1919413919413917
509,Heineken, 2014,2.0956692913385826
510,Heineken, 2015,2.1672897196261682
511,Heineken, 2016,2.2417218543046356
512,Heineken, 2017,2.146308724832215
513,Heineken, 2018,2.4401785714285715
514,Heineken, 2019,2.3475247524752474
515,Heineken, 2020,2.525
516,Heineken, 2021,2.4909090909090907
517,Heineken Dark Lager, 2000,1.6
518,Heineken Dark Lager, 2001,2.9142857142857146
519,Heineken Dark Lager, 2002,2.7093023255813953
520,Heineken Dark Lager, 2003,2.5980392156862746
521,Heineken Dark Lager, 2004,2.4711864406779664
522,Heineken Dark Lager, 2005,2.6234375
523,Heineken Dark Lager, 2006,2.6673913043478263
524,Heineken Dark Lager, 2007,2.805172413793103
525,Heineken Dark Lager, 2008,2.573611111111111
526,Heineken Dark Lager, 2009,2.597297297297297
527,Heineken Dark Lager, 2010,2.6857142857142855
528,Heineken Dark Lager, 2011,2.7708333333333335
529,Heineken Dark Lager, 2012,2.7346153846153842
530,Heineken Dark Lager, 2013,3.005263157894737
531,Heineken Dark Lager, 2014,2.988888888888889
532,Heineken Dark Lager, 2015,2.933333333333333
533,Heineken Dark Lager, 2016,2.6799999999999997
534,Heineken Dark Lager, 2017,2.65
535,Heineken Dark Lager, 2018,2.6999999999999997
536,Heineken Dark Lager, 2019,2.6
537,Heineken Dark Lager, 2021,2.7
538,Hite D (Dry Finish), 2010,1.1
539,Hite D (Dry Finish), 2011,1.9090909090909092
